,Wages1,Hours1,Wages2,Hours2
1276,23.32,40.0,,
1277,23.0,40.0,,
1278,0.0,0.0,,
1279,79.32,40.0,,
1280,18.54,40.0,,
1281,9.0,30.0,,
1282,12.0,30.0,,
1283,18.0,40.0,,
1284,14.0,40.0,,
1285,10.0,40.0,,
1286,0.0,0.0,,
1287,16.35,40.0,,
1288,22.22,37.5,,
1289,13.13,40.0,,
1290,0.0,0.0,,
1291,10.0,40.0,,
1292,15.0,40.0,,
1293,12.0,30.0,,
1294,12.0,36.0,,
1295,11.0,40.0,,
1296,15.0,40.0,,
1297,12.0,40.0,,
1298,11.49,32.0,,
1299,17.0,40.0,,
1300,18.5,40.0,9.4,40.0
1301,21.5,40.0,,
1302,12.0,32.0,12.0,26.0
1303,15.78,40.0,,
1304,12.54,10.0,,
1305,13.5,40.0,,
1306,17.0,40.0,,
1307,13.0,40.0,,
1308,12.5,40.0,,
1309,15.75,40.0,,
1310,0.0,0.0,,
1311,16.68,43.0,,
1312,17.85,38.0,,
1313,0.0,0.0,,
1314,0.0,0.0,,
1315,0.0,0.0,,
1316,11.0,27.0,,
1317,13.5,39.0,,
1318,35.86,40.0,,
1319,12.0,22.0,,
1320,18.0,20.0,,
1321,0.0,0.0,,
1322,0.0,0.0,,
1323,12.0,40.0,,
1324,11.85,40.0,,
1325,13.69,32.0,,
1326,19.13,40.0,,
1327,14.0,40.0,,
1328,0.0,,,
1329,9.0,15.0,,
1330,0.0,,,
1331,0.0,,,
1332,12.0,40.0,,
1333,0.0,,,
1334,0.0,,,
1335,0.0,,,
1336,0.0,,,
1337,10.0,15.0,,
1338,0.0,,,
1339,0.0,,,
