,BenefitsScreening,BenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
386,No,Yes,,Yes,No,Yes,2
387,Yes,No,No,Yes,Yes,Yes,3
388,Yes,No,,Yes,Yes,Yes,3
389,Yes,No,No,Yes,No,Yes,2
390,No,No,,No,Yes,Yes,2
391,No,No,No,No,Yes,Yes,2
392,Yes,No,No,Yes,Yes,Yes,3
393,Yes,No,No,Yes,Yes,Yes,3
394,Yes,No,No,Yes,Yes,Yes,3
395,No,No,No,No,No,Yes,1
396,No,Yes,,Yes,Yes,Yes,3
397,Yes,No,,Yes,Yes,Yes,3
398,No,No,,No,Yes,Yes,2
399,Yes,Yes,,Yes,No,Yes,2
400,Yes,No,,Yes,Yes,Yes,3
401,Yes,Yes,,Yes,Yes,Yes,3
402,No,No,,No,Yes,No,1
403,No,No,,No,Yes,No,1
404,Yes,No,,Yes,Yes,Yes,3
405,Yes,Yes,,Yes,No,Yes,2
406,No,No,,No,Yes,No,1
407,No,No,,No,Yes,Yes,2
408,No,No,,No,Yes,Yes,2
409,Yes,,,Yes,No,Yes,2
410,No,Yes,,Yes,No,Yes,2
411,No,No,,No,No,Yes,1
412,Yes,No,,Yes,Yes,Yes,3
413,Yes,No,,Yes,Yes,Yes,3
414,No,No,,No,Yes,Yes,2
415,Yes,No,,Yes,Yes,Yes,3
416,No,No,,No,No,Yes,1
417,Yes,No,,Yes,Yes,Yes,3
418,Yes,Yes,,Yes,Yes,Yes,3
419,No,No,,No,No,No,0
420,Yes,No,,Yes,Yes,No,2
421,No,No,,No,Yes,Yes,2
422,Yes,Yes,,Yes,Yes,Yes,3
423,No,No,,No,No,Yes,1
424,Yes,Yes,,Yes,Yes,Yes,3
425,No,Yes,,Yes,Yes,Yes,3
426,No,No,,No,No,Yes,1
427,No,No,,No,No,Yes,1
428,No,No,No,No,No,No,0
429,Yes,No,,Yes,Yes,Yes,3
430,Yes,No,,Yes,Yes,Yes,3
431,No,No,,No,No,Yes,1
432,Yes,No,,Yes,No,Yes,2
433,Yes,No,,Yes,Yes,Yes,3
434,Yes,No,,Yes,Yes,Yes,3
435,No,Yes,,Yes,No,Yes,2
436,Yes,No,No,Yes,Yes,Yes,3
437,No,Yes,,Yes,No,Yes,2
438,Yes,No,,Yes,No,Yes,2
439,Yes,No,,Yes,Yes,Yes,3
440,No,No,,No,No,Yes,1
441,No,No,,No,Yes,Yes,2
442,No,No,,No,No,Yes,1
443,Yes,Yes,,Yes,No,Yes,2
444,No,No,,No,Yes,Yes,2
445,Yes,No,,Yes,Yes,Yes,3
446,Yes,Yes,,Yes,Yes,Yes,3
447,No,No,,No,Yes,Yes,2
448,Yes,No,,Yes,Yes,Yes,3
449,Yes,No,,Yes,No,Yes,2
450,No,Yes,,Yes,Yes,Yes,3
451,No,No,,No,Yes,Yes,2
452,No,No,,No,Yes,Yes,2
453,Yes,No,,Yes,Yes,Yes,3
454,No,No,,No,Yes,Yes,2
455,Yes,No,,Yes,No,Yes,2
456,No,No,,No,No,Yes,1
457,No,No,,No,No,Yes,1
458,No,No,,No,Yes,Yes,2
459,Yes,No,,Yes,Yes,Yes,3
460,Yes,No,,Yes,Yes,Yes,3
461,Yes,No,,Yes,No,Yes,2
462,No,No,,No,No,Yes,1
463,Yes,Yes,,Yes,Yes,Yes,3
464,No,No,No,No,No,No,0
465,No,No,,No,Yes,Yes,2
466,Yes,Yes,,Yes,Yes,Yes,3
467,No,No,,No,Yes,Yes,2
468,Yes,No,,Yes,Yes,Yes,3
469,No,No,,No,Yes,No,1
470,Yes,No,,Yes,Yes,Yes,3
471,Yes,Yes,,Yes,Yes,Yes,3
472,Yes,Yes,,Yes,Yes,No,2
473,Yes,No,,Yes,No,Yes,2
474,Yes,No,,Yes,Yes,Yes,3
475,No,No,,No,Yes,No,1
476,No,No,,No,No,Yes,1
477,Yes,No,,Yes,No,Yes,2
478,No,Yes,,Yes,Yes,Yes,3
479,No,No,,No,Yes,Yes,2
480,Yes,No,,Yes,Yes,Yes,3
481,Yes,No,,Yes,Yes,Yes,3
482,Yes,No,,Yes,Yes,Yes,3
483,Yes,Yes,No,Yes,No,Yes,2
484,Yes,No,,Yes,Yes,Yes,3
485,Yes,Yes,,Yes,No,Yes,2
486,No,No,,No,Yes,Yes,2
487,Yes,No,,Yes,Yes,Yes,3
488,Yes,No,,Yes,Yes,Yes,3
489,Yes,Yes,,Yes,No,No,1
490,Yes,No,,Yes,No,Yes,2
491,Yes,Yes,No,Yes,Yes,Yes,3
492,No,No,,No,Yes,Yes,2
493,No,No,,No,Yes,No,1
494,No,No,,No,Yes,Yes,2
495,Yes,Yes,,Yes,Yes,Yes,3
496,No,No,No,No,Yes,No,1
497,Yes,No,Yes,Yes,Yes,Yes,3
498,Yes,No,Yes,Yes,Yes,Yes,3
499,Yes,No,Yes,Yes,Yes,Yes,3
500,Yes,No,Yes,Yes,Yes,Yes,3
501,No,No,No,No,No,Yes,1
502,No,No,No,No,No,Yes,1
503,No,No,No,No,Yes,No,1
504,No,No,No,No,Yes,No,1
505,No,No,No,No,Yes,No,1
506,Yes,No,No,Yes,Yes,Yes,3
507,Yes,No,No,Yes,Yes,Yes,3
508,Yes,No,No,Yes,Yes,Yes,3
509,No,No,No,No,Yes,No,1
510,No,Yes,No,Yes,Yes,No,2
