,Savings,CreditScore,Debt
1436,0,,10000
1437,5000,,0
1438,0,,0
1439,0,,0
1440,0,,0
1441,0,,27000
1442,2000,,138490
1443,0,,3300
1444,0,,16007
1445,0,,0
1446,1800,,0
1447,0,,0
1448,30,,0
1449,300,,0
1450,0,,21000
1451,0,,0
1452,0,,0
1453,185,,0
1454,0,545,0
1455,600,,12000
1456,0,,0
1457,600,,1000
1458,0,,2800
1459,0,,0
1460,0,,0
1461,4000,,15200
1462,0,,5000
1463,0,,10000
1464,,,
1465,0,,0
1466,0,,0
1467,0,,15000
1468,,,
1469,0,547,7751
1470,600,,0
1471,0,,0
1472,0,,0
1473,0,,26507
1474,45,,0
1475,,,
1476,0,,0
1477,700,,0
1478,0,,41445
1479,,,
1480,0,,0
1481,0,,0
1482,0,,27357
1483,,,
1484,0,,927
1485,0,,0
1486,0,,0
1487,0,,0
1488,,,
1489,0,575,0
1490,0,661,0
1491,0,,0
1492,5000,580,0
1493,1500,,0
1494,0,621,0
1495,0,,0
1496,0,492,0
1497,,,
1498,,,
1499,,,
1500,,,
1501,0,,0
1502,80,508,0
1503,0,,0
1504,0,,0
1505,0,,0
1506,0,,100
1507,,,
1508,,,
1509,400,536,0
1510,,,
1511,,,
1512,,,
1513,250,,0
1514,,,
1515,,,
1516,,,
1517,0,,0
1518,,,
1519,,,
1520,,,
1521,,,
1522,,,
1523,,,
1524,,,
1525,,,
1526,,,
1527,,,
1528,,,
1529,,,
1530,,,
1531,,,
1532,,,
1533,,,
1534,,,
1535,0,573,11958
1536,0,545,5512
1537,,,
1538,,,
1539,,,
1540,,,
1541,,,
1542,0,635,8849
1543,0,,0
1544,0,591,0
1545,3000,598,0
1546,0,,0
1547,0,502,0
1548,0,,0
1549,0,,0
1550,0,671,0
1551,200,,0
1552,,,
1553,0,518,11087
1554,,,
1555,0,,0
1556,800,723,0
1557,400,,0
1558,0,595,0
1559,0,546,0
1560,0,,551
1561,300,,0
1562,0,,0
1563,400,,0
1564,0,,0
1565,0,,0
1566,0,501,21050
1567,100,,0
1568,0,545,0
1569,0,,0
1570,0,,0
1571,0,635,0
1572,,,
1573,2000,,0
1574,,,
1575,700,,0
1576,,,
1577,1000,545,0
1578,0,,0
1579,,,
1580,0,,0
1581,0,743,0
1582,,,
1583,0,611,0
1584,0,,5800
1585,,,
1586,,,
1587,0,,0
1588,,,
1589,,,
1590,,,
1591,,,
1592,,,
1593,,,
1594,,,
1595,,,
1596,,,
1597,,,
1598,,,
1599,,,
1600,,,
1601,0,550,18891
1602,0,,1876
1603,,,
1604,2700,,563
1605,,,
1606,0,539,4475
1607,0,525,16463
1608,0,,550
1609,,,
1610,0,,0
1611,0,517,13610
1612,500,,0
1613,0,,0
1614,0,,0
1615,0,559,8810
1616,30,618,16630
1617,0,501,6720
1618,2500,620,176936
1619,0,,0
1620,0,,1301
1621,0,501,1968
1622,0,,0
1623,1000,795,7085
1624,,,
1625,0,606,19353
1626,0,,1169
1627,0,,1400
1628,300,626,9526
1629,0,,4329
1630,200,,0
1631,0,,0
1632,8000,689,33000
1633,0,,39200
1634,460,,13000
1635,0,,1341
1636,,,
1637,0,578,4108
1638,800,,2522
1639,0,524,4107
1640,,,
1641,1200,501,66441
1642,,,
1643,1500,,1703
1644,0,634,50765
1645,3000,,2000
1646,0,,0
1647,0,542,31409
1648,0,594,3057
1649,0,,1600
1650,0,,0
1651,0,542,1224
1652,0,,4213
1653,0,501,10580
1654,300,589,178548
1655,0,538,6459
1656,0,625,5300
1657,0,,0
1658,0,566,10345
1659,0,,64000
1660,0,501,7122
1661,0,,25183
1662,850,573,5928
1663,0,548,26131
1664,0,,29339
1665,0,836,199
1666,0,,3900
1667,0,,2410
1668,0,,484
1669,2000,,0
1670,0,,21000
1671,0,,33000
1672,0,,11262
1673,0,,2000
1674,0,553,4000
1675,0,,0
1676,0,524,3034
1677,1500,,6000
1678,1400,,10000
1679,0,,682
1680,3000,618,3377
1681,0,506,2641
1682,0,,0
1683,0,556,8097
1684,2000,,0
1685,0,501,3141
1686,0,543,15000
1687,0,,0
1688,0,552,29822
1689,0,507,88000
1690,0,601,49357
1691,750,677,14655
1692,0,617,164
1693,0,,0
1694,500,,600
1695,0,,0
1696,1400,565,3687
1697,0,513,599
1698,0,,0
1699,0,555,13000
1700,500,597,81215
1701,0,,0
1702,0,,0
1703,0,,0
1704,0,571,280
1705,0,,5000
1706,0,,15000
1707,0,,34000
1708,1000,,0
1709,0,,14000
1710,2000,,5440
1711,0,,0
1712,0,,51000
1713,0,,700
1714,0,,0
1715,0,895,0
1716,0,,0
1717,0,574,1963
1718,0,509,54830
1719,0,,4087
1720,0,550,5362
1721,0,,0
1722,0,575,10799
1723,,,
1724,0,,0
1725,,,
1726,0,,6000
1727,0,,0
1728,200,,0
1729,0,,1300
1730,0,609,42523
1731,0,,0
1732,0,716,0
1733,0,702,11876
1734,0,,0
1735,0,,0
1736,0,,0
1737,0,,0
1738,0,615,25330
1739,0,,15213
1740,2100,,59375
1741,1800,,10560
1742,0,,1211
1743,0,,10000
1744,0,0,0
1745,,,
1746,,,
1747,,,
1748,,,
1749,,,
1750,,,
1751,0,,
1752,,,
1753,1,,350000
1754,,,900
1755,,,
1756,,,
1757,140,,
1758,,,
1759,,720,3000
1760,,,
1761,,,
1762,,,
1763,,,
1764,1,780,105000
1765,,,
1766,,,
1767,0,688,17000
1768,,,
1769,0,625,945
1770,,,
1771,2,790,1044
1772,,619,
1773,15,,
1774,,,
1775,0,541,
1776,0,,2000
1777,,,
1778,,,
1779,,,
1780,0,568,1000
1781,,,
1782,,,
1783,,,
1784,,,
1785,,,
1786,,766,
1787,,,
1788,,,
1789,,,
1790,2,702,15000
1791,,,
1792,,,
1793,,,
1794,,740,
1795,0,576,
1796,,,
1797,,,
1798,0,,5000
1799,,,
1800,0,,
1801,,811,
1802,,,
1803,,,
1804,,,
1805,8000,803,
1806,,,
1807,0,,30
1808,,,
1809,,,
1810,,,
1811,,,
1812,,,
1813,,,
1814,,,
1815,,,
1816,,,
1817,,,
1818,,,
1819,,,
1820,0,,
1821,,558,
1822,174,,19000
1823,,,
1824,,,
1825,,,
1826,500,,1000
1827,,,
1828,,,
1829,500,,
1830,,,
1831,,,
1832,,,
1833,,,
1834,,,
1835,,,
1836,0,,
1837,0,450,15000
1838,,,
1839,0,800,
1840,,,
1841,,,
1842,,,
1843,,574,45000
1844,,,
1845,,,4284
1846,0,496,
1847,,,
1848,0,,
1849,,,
1850,,,
1851,,,
1852,,,
1853,,,
1854,,,
1855,,,
1856,,,
1857,0,,
1858,0,550,0
1859,,,
1860,,760,1200
1861,0,,
1862,0,,15000
1863,,,
1864,,,
1865,0,590,414000
1866,2,400,
1867,,,
1868,,,
1869,0,,1677
